cep,cidade,bairro,logradouro
60010000,Fortaleza/CE,Moura Brasil,Avenida Presidente Castelo Branco - até 1999/2000
60010010,Fortaleza/CE,Moura Brasil,Rua Senador Jaguaribe
60010011,Fortaleza/CE,Moura Brasil,Rua Trilho de Ferro
60010020,Fortaleza/CE,Moura Brasil,Rua Braga Torres
60010030,Fortaleza/CE,Moura Brasil,Vila Valença
60010040,Fortaleza/CE,Moura Brasil,Rua dos Navegantes
60010043,Fortaleza/CE,Moura Brasil,Travessa Carmem
60010060,Fortaleza/CE,Moura Brasil,Travessa Santo Inácio III
60010070,Fortaleza/CE,Moura Brasil,Travessa Santo Inácio II
60010080,Fortaleza/CE,Moura Brasil,Travessa Santo Inácio I
60010090,Fortaleza/CE,Moura Brasil,Rua Santo Inácio
60010100,Fortaleza/CE,Moura Brasil,Rua Padre Mororó - até 349/350
60010110,Fortaleza/CE,Moura Brasil,Rua São Januário
60010112,Fortaleza/CE,Moura Brasil,Rua Verde Mar
60010120,Fortaleza/CE,Moura Brasil,Rua do Trilho
60010122,Fortaleza/CE,Moura Brasil,Praça Araripe Júnior
60010130,Fortaleza/CE,Moura Brasil,Rua Adarias de Lima
60010140,Fortaleza/CE,Moura Brasil,Travessa Balança Rvc
60010150,Fortaleza/CE,Moura Brasil,Rua ABC
60010160,Fortaleza/CE,Moura Brasil,Rua Valdelice
60010161,Fortaleza/CE,Moura Brasil,Travessa Merce
60010170,Fortaleza/CE,Moura Brasil,Travessa da Saudade
60010180,Fortaleza/CE,Moura Brasil,Rua Caucaia
60010190,Fortaleza/CE,Moura Brasil,Rua Cedro
60010200,Fortaleza/CE,Moura Brasil,Beco da Saudade
60010210,Fortaleza/CE,Moura Brasil,Travessa Senador Jaguaribe
60010220,Fortaleza/CE,Moura Brasil,Travessa João Felipe
60010230,Fortaleza/CE,Moura Brasil,Rua dos Moinhos
60010240,Fortaleza/CE,Centro,Rua Tijubana
60010250,Fortaleza/CE,Centro,Rua Agapito dos Santos
60010252,Fortaleza/CE,Centro,Vila Carmita
60010260,Fortaleza/CE,Centro,Rua Conselheiro Estelita
60010262,Fortaleza/CE,Centro,Vila Jerônimo Lopes
60010270,Fortaleza/CE,Centro,Rua Oto de Alencar
60010280,Fortaleza/CE,Jacarecanga,Avenida Filomeno Gomes - até 593/594
60010281,Fortaleza/CE,Jacarecanga,Avenida Filomeno Gomes - de 595/596 ao fim
60010320,Fortaleza/CE,Jacarecanga,Travessa Francisco Sá
60010340,Fortaleza/CE,Jacarecanga,Avenida Tenente Lisboa - até 999/1000
60010390,Fortaleza/CE,Jacarecanga,Rua Maria Luiza
60010400,Fortaleza/CE,Jacarecanga,Rua Messias Filomeno
60010410,Fortaleza/CE,Jacarecanga,Rua Dona Bela
60010420,Fortaleza/CE,Jacarecanga,Rua Maria Isabel
60010430,Fortaleza/CE,Jacarecanga,Rua Hélio Caracas
60010436,Fortaleza/CE,Jacarecanga,Rua Monsenhor Dantas - até 2398/2399
60010440,Fortaleza/CE,Jacarecanga,Rua Adolfo Campelo
60010442,Fortaleza/CE,Jacarecanga,Rua São Paulo - de 1801/1802 ao fim
60010447,Fortaleza/CE,Jacarecanga,Vila Ecilândia
60010450,Fortaleza/CE,Jacarecanga,Avenida Francisco Sá - até 2399/2400
60010460,Fortaleza/CE,Jacarecanga,Rua Caririaçu - até 298/299
60010465,Fortaleza/CE,Jacarecanga,Avenida José Jatahy - até 599 - lado ímpar
60010470,Fortaleza/CE,Jacarecanga,Rua Carneiro da Cunha
60010480,Fortaleza/CE,Jacarecanga,Rua Cascavel
60010490,Fortaleza/CE,Jacarecanga,Rua Francisco Alves
60010500,Fortaleza/CE,Jacarecanga,Vila Agrião
60010510,Fortaleza/CE,Jacarecanga,Vila Eduardo Gurgel
60010520,Fortaleza/CE,Jacarecanga,Rua Dona Maroquinha
60010530,Fortaleza/CE,Jacarecanga,Rua Adrianísia
60010532,Fortaleza/CE,Jacarecanga,Rua Dezesseis de Setembro
60010534,Fortaleza/CE,Jacarecanga,Rua Quinze de Agosto
60010536,Fortaleza/CE,Jacarecanga,Rua Primeiro de Maio
60010540,Fortaleza/CE,Jacarecanga,Rua José Pinto do Carmo
60010550,Fortaleza/CE,Jacarecanga,Rua Joel Monteiro
60010560,Fortaleza/CE,Jacarecanga,Rua Inácio Parente
60010570,Fortaleza/CE,Jacarecanga,Rua Jorge de Sousa
60010582,Fortaleza/CE,Jacarecanga,Rua Epifânio Leite
60010590,Fortaleza/CE,Jacarecanga,Rua Adriano Martins
60010600,Fortaleza/CE,Jacarecanga,Rua São Francisco de Assis
60010610,Fortaleza/CE,Jacarecanga,Rua Dona Leda
60010620,Fortaleza/CE,Jacarecanga,Rua Júlio César
60010630,Fortaleza/CE,Jacarecanga,Rua Santana
60010640,Fortaleza/CE,Jacarecanga,Rua Maria Estela
60010650,Fortaleza/CE,Jacarecanga,Rua Dez de Novembro
60010660,Fortaleza/CE,Jacarecanga,Rua Antônio Bandeira
60010670,Fortaleza/CE,Jacarecanga,Rua Oscar Pedreira
60010690,Fortaleza/CE,Jacarecanga,Avenida Padre Ibiapina
60010700,Fortaleza/CE,Jacarecanga,Praça Gustavo Barroso
60010710,Fortaleza/CE,Jacarecanga,Vila Maria Tereza
60010720,Fortaleza/CE,Farias Brito,Rua Eurico Faco
60010721,Fortaleza/CE,Farias Brito,Vila Major
60010730,Fortaleza/CE,Farias Brito,Rua Cariré
60010731,Fortaleza/CE,Farias Brito,Vila Náutilos
60010733,Fortaleza/CE,Farias Brito,Rua Joaquim Moreira
60010735,Fortaleza/CE,Farias Brito,Travessa Duque de Caxias
60010737,Fortaleza/CE,Farias Brito,Avenida Duque de Caxias - de 1801 ao fim - lado ímpar
60010740,Fortaleza/CE,Farias Brito,Rua Larga
60010741,Fortaleza/CE,Farias Brito,Travessa David Pascoal
60010750,Fortaleza/CE,Farias Brito,Travessa San Marino
60010760,Fortaleza/CE,Farias Brito,Travessa São Miguel
60010770,Fortaleza/CE,Farias Brito,Vila São Norberto
60010780,Fortaleza/CE,Farias Brito,Vila José Paula
60010790,Fortaleza/CE,Farias Brito,Travessa Santos Coelho
60010800,Fortaleza/CE,Farias Brito,Vila Mendonça Neto
60010810,Fortaleza/CE,Farias Brito,Rua Othon de Norões
60010815,Fortaleza/CE,Farias Brito,Rua Frei Humberto
60010820,Fortaleza/CE,Farias Brito,Rua Brejo Santo
60010830,Fortaleza/CE,Farias Brito,Vila Nova
60010835,Fortaleza/CE,Farias Brito,Rua Epifânio Leite
60010838,Fortaleza/CE,Farias Brito,Travessa Epifânio Leite
60010840,Fortaleza/CE,Farias Brito,Rua Borges da Fonseca
60010842,Fortaleza/CE,Farias Brito,Travessa Paulo VI
60010843,Fortaleza/CE,Farias Brito,Avenida José Jatahy - de 601 a 1099 - lado ímpar
60010845,Fortaleza/CE,Farias Brito,Rua Salustiano José de Melo
60011000,Fortaleza/CE,Farias Brito,Rua Boa Viagem
60011010,Fortaleza/CE,Farias Brito,Travessa Padre José
60011020,Fortaleza/CE,Farias Brito,Vila José Raimundo
60011021,Fortaleza/CE,Farias Brito,Rua Odilon Soares
60011030,Fortaleza/CE,Farias Brito,Vila Arizona
60011040,Fortaleza/CE,Farias Brito,Rua dos Correntes
60011050,Fortaleza/CE,Farias Brito,Rua José Alexandre
60011060,Fortaleza/CE,Farias Brito,Rua Rúbia Sampaio
60011070,Fortaleza/CE,Farias Brito,Vila das Virgens
60011080,Fortaleza/CE,Farias Brito,Praça Sebastião Gomes da Silva
60011090,Fortaleza/CE,Farias Brito,Travessa Raimundo Lopes
60011100,Fortaleza/CE,Farias Brito,Rua Carlos Severo
60011110,Fortaleza/CE,Farias Brito,Rua Justiniano de Serpa - até 679/680
60011120,Fortaleza/CE,Farias Brito,Rua Bela Cruz
60011130,Fortaleza/CE,Farias Brito,Vila das Graças
60011140,Fortaleza/CE,Farias Brito,Travessa Vital
60011160,Fortaleza/CE,Farias Brito,Rua Joaquim Barbosa dos Santos
60011170,Fortaleza/CE,Farias Brito,Rua Dom Jerônimo - até 679/680
60011173,Fortaleza/CE,Farias Brito,Avenida José Jatahy - de 1101 a 1899 - lado ímpar
60011176,Fortaleza/CE,Farias Brito,Avenida José Jatahy - de 702 a 1098 - lado par
60011180,Fortaleza/CE,Farias Brito,Vila Brilhante
60011190,Fortaleza/CE,Farias Brito,Vila Liberato
60011200,Fortaleza/CE,Farias Brito,Vila Nossa Senhora de Fátima
60011210,Fortaleza/CE,Farias Brito,Vila São Chiquinho
60011220,Fortaleza/CE,Farias Brito,Vila Marcelino
60011230,Fortaleza/CE,Farias Brito,Vila Saraiva Barros
60011240,Fortaleza/CE,Farias Brito,Travessa Nossa Senhora das Graças
60011250,Fortaleza/CE,Farias Brito,Rua Beberibe
60011260,Fortaleza/CE,Farias Brito,Vila São Mariano
60011270,Fortaleza/CE,Farias Brito,Vila Alves Feitosa
60011280,Fortaleza/CE,Farias Brito,Praça Farias Brito
60011290,Fortaleza/CE,Farias Brito,Rua Mil e Quinhentos
60011300,Fortaleza/CE,Farias Brito,Rua Santo Monte
60011310,Fortaleza/CE,Farias Brito,Travessa Santa Norma
60011320,Fortaleza/CE,Farias Brito,Rua Livreiro Arlindo
60011330,Fortaleza/CE,Farias Brito,Praça dos Libertadores
60011340,Fortaleza/CE,Farias Brito,Vila São Francisco
60015000,Fortaleza/CE,Centro,Avenida Tristão Gonçalves - até 1309 - lado ímpar
60015001,Fortaleza/CE,Centro,Avenida Tristão Gonçalves - até 1310 - lado par
60015002,Fortaleza/CE,Benfica,Avenida Tristão Gonçalves - de 1312 ao fim - lado par
60015005,Fortaleza/CE,Benfica,Avenida Tristão Gonçalves - de 1311 ao fim - lado ímpar
60015010,Fortaleza/CE,Centro,Vila Adolfo Sales
60015020,Fortaleza/CE,Benfica,Vila Cordeiro
60015025,Fortaleza/CE,Benfica,Avenida Imperador - de 1361 ao fim - lado ímpar
60015030,Fortaleza/CE,Benfica,Vila São Luís
60015035,Fortaleza/CE,Benfica,Rua Princesa Isabel - de 1950/1951 ao fim
60015038,Fortaleza/CE,Benfica,Rua Teresa Cristina - de 1950/1951 ao fim
60015040,Fortaleza/CE,Benfica,Rua Tatuí
60015050,Fortaleza/CE,Centro,Avenida Imperador - até 1358 - lado par
60015051,Fortaleza/CE,Centro,Avenida Imperador - até 1359 - lado ímpar
60015052,Fortaleza/CE,Farias Brito,Avenida Imperador - de 1360 ao fim - lado par
60015060,Fortaleza/CE,Centro,Rua Princesa Isabel - até 1368/1369
60015061,Fortaleza/CE,Farias Brito,Rua Princesa Isabel - de 1370/1371 a 1948/1949
60015070,Fortaleza/CE,Centro,Rua Estefânia Salgado
60015080,Fortaleza/CE,Centro,Vila Rocha Lima
60015090,Fortaleza/CE,Farias Brito,Vila das Missões
60015100,Fortaleza/CE,Farias Brito,Vila Mota
60015103,Fortaleza/CE,Farias Brito,Rua Domingos Olímpio - de 1501 ao fim - lado ímpar
60015104,Fortaleza/CE,Farias Brito,Rua Antônio Pompeu - de 2002 ao fim - lado par
60015105,Fortaleza/CE,Farias Brito,Vila Trairi
60015107,Fortaleza/CE,Farias Brito,Rua Antônio Pompeu - de 1401 ao fim - lado ímpar
60015108,Fortaleza/CE,Farias Brito,Rua Domingos Olímpio - de 1502 ao fim - lado par
60015110,Fortaleza/CE,Farias Brito,Vila São Marcos
60015120,Fortaleza/CE,Farias Brito,Vila Condessa
60015122,Fortaleza/CE,Farias Brito,Rua Luís de Miranda - lado par
60015125,Fortaleza/CE,Farias Brito,Vila Toluca
60015128,Fortaleza/CE,Farias Brito,Rua dos Praçinhas - lado par
60015130,Fortaleza/CE,Farias Brito,Vila Medeiros
60015140,Fortaleza/CE,Centro,Rua Teresa Cristina - até 1349/1350
60015141,Fortaleza/CE,Farias Brito,Rua Teresa Cristina - de 1351/1352 a 1948/1949
60015142,Fortaleza/CE,Centro,Vila Santa Terezinha
60015150,Fortaleza/CE,Centro,Vila Via Férrea
60015160,Fortaleza/CE,Centro,Vila Doutor Monteiro
60015170,Fortaleza/CE,Farias Brito,Rua Alerta
60015180,Fortaleza/CE,Farias Brito,Rua Gil Amora
60015185,Fortaleza/CE,Farias Brito,Rua Gervásio de Castro - de 200/201 ao fim
60015190,Fortaleza/CE,Farias Brito,Rua Marconi
60015200,Fortaleza/CE,Farias Brito,Vila Tipuja
60015205,Fortaleza/CE,Farias Brito,Travessa Campos Sales
60015210,Fortaleza/CE,Farias Brito,Rua Campos Sales
60015220,Fortaleza/CE,Centro,Rua Padre Mororó - de 351/352 a 1758/1759
60015221,Fortaleza/CE,Farias Brito,Rua Padre Mororó - de 1760/1761 ao fim
60015230,Fortaleza/CE,Centro,Vila Santa Elisa
60015240,Fortaleza/CE,Centro,Vila Ceará
60015250,Fortaleza/CE,Centro,Vila Azul
60015260,Fortaleza/CE,Farias Brito,Rua Barão de Ibiapaba
60015270,Fortaleza/CE,Farias Brito,Travessa São Camilo
60015280,Fortaleza/CE,Farias Brito,Vila Francisco Gerardo
60015290,Fortaleza/CE,Benfica,Rua Carapinima
60015300,Fortaleza/CE,Benfica,Rua Instituto do Ceará
60015320,Fortaleza/CE,Benfica,Rua Senador Catunda
60015330,Fortaleza/CE,Benfica,Rua Luís de Miranda - lado ímpar
60015331,Fortaleza/CE,Benfica,Rua dos Praçinhas - lado ímpar
60015335,Fortaleza/CE,Benfica,Rua Justiniano de Serpa - de 681/682 ao fim
60015340,Fortaleza/CE,Benfica,Rua Juvenal Galeno
60015343,Fortaleza/CE,Benfica,Rua Gervásio de Castro - até 198/199
60015345,Fortaleza/CE,Benfica,Rua Batoque
60015350,Fortaleza/CE,Benfica,Rua Pequena
60015355,Fortaleza/CE,Benfica,Rua Dom Jerônimo - de 681/682 ao fim
60015360,Fortaleza/CE,Benfica,Rua Inácio Barroso
60015370,Fortaleza/CE,Benfica,Rua Edson Alves de Oliveira
60015380,Fortaleza/CE,Benfica,Vila Gurgel
60015390,Fortaleza/CE,Benfica,Rua Confúcio Pamplona
60015400,Fortaleza/CE,Benfica,Vila Confúcio Pamplona
60015410,Fortaleza/CE,Benfica,Vila Oito de Maio
60015420,Fortaleza/CE,Benfica,Vila São Vicente
60015430,Fortaleza/CE,Benfica,Vila Antônio Miranda
60015440,Fortaleza/CE,Centro,Travessa Mangaratiba
60015450,Fortaleza/CE,Centro,Travessa Rosita
60015480,Fortaleza/CE,Centro,Vila Elisa Diogo
60015490,Fortaleza/CE,Benfica,Vila Célia Maria
60015510,Fortaleza/CE,Benfica,Vila Manuel Pedro
60020000,Fortaleza/CE,Centro,Rua Vinte e Quatro de Maio - até 1388/1389
60020001,Fortaleza/CE,Benfica,Rua Vinte e Quatro de Maio - de 1390/1391 ao fim
60020010,Fortaleza/CE,Benfica,Vila Elizabet
60020020,Fortaleza/CE,Benfica,Vila Santo Antônio
60020030,Fortaleza/CE,Centro,Rua General Sampaio - até 1788/1789
60020031,Fortaleza/CE,Benfica,Rua General Sampaio - de 1790/1791 ao fim
60020040,Fortaleza/CE,Centro,Galeria Pedro Jorge
60020050,Fortaleza/CE,Centro,Rua Barão de Camocim
60020060,Fortaleza/CE,Benfica,Rua Marechal Deodoro - até 863/864
60020061,Fortaleza/CE,Benfica,Rua Marechal Deodoro - de 865/866 ao fim
60020070,Fortaleza/CE,Benfica,Rua Major Laurindo - até 239/240
60020080,Fortaleza/CE,Benfica,Rua Júlio César - até 349/350
60020090,Fortaleza/CE,Benfica,Rua Santo Antônio
60020100,Fortaleza/CE,Benfica,Rua João Gentil
60020110,Fortaleza/CE,Benfica,Rua Waldery Uchôa - até 727/728
60020120,Fortaleza/CE,Benfica,Rua Nossa Senhora dos Remédios
60020130,Fortaleza/CE,Benfica,Vila Gentilândia
60020140,Fortaleza/CE,Benfica,Vila Santa Cecília
60020150,Fortaleza/CE,Benfica,Rua Carlos Câmara - até 1199/1200
60020160,Fortaleza/CE,Benfica,Rua Redenção
60020170,Fortaleza/CE,Benfica,Rua Martinópole
60020180,Fortaleza/CE,Benfica,Avenida da Universidade - até 2799/2800
60020181,Fortaleza/CE,Benfica,Avenida da Universidade - de 2801/2802 ao fim
60020185,Fortaleza/CE,Benfica,Avenida José Bastos - até 2799 - lado ímpar
60020190,Fortaleza/CE,Benfica,Rua Caio Carlos
60020200,Fortaleza/CE,Benfica,Rua Quixadá
60020210,Fortaleza/CE,Benfica,Vila Santa Mariana
60020220,Fortaleza/CE,Benfica,Vila Bruno
60020230,Fortaleza/CE,Benfica,Vila Vitória
60020240,Fortaleza/CE,Benfica,Rua Aracati
60020250,Fortaleza/CE,Benfica,Vila Arteiro
60020260,Fortaleza/CE,Benfica,Vila Royal
60020270,Fortaleza/CE,Benfica,Rua Paulino Nogueira
60020280,Fortaleza/CE,Benfica,Rua Professor José Mendes
60020290,Fortaleza/CE,Benfica,Rua Padre Francisco Pinto
60020292,Fortaleza/CE,Benfica,Travessa José Bastos
60020295,Fortaleza/CE,Benfica,Avenida José Jatahy - de 1901 ao fim - lado ímpar
60020300,Fortaleza/CE,Benfica,Rua Costa Sousa
60020310,Fortaleza/CE,Benfica,Vila Triunfo
60020320,Fortaleza/CE,Benfica,Rua Padre João Wassen
60020330,Fortaleza/CE,Benfica,Rua Adolfo Herbster
60020340,Fortaleza/CE,Benfica,Vila Rufino Coelho
60020350,Fortaleza/CE,Benfica,Rua Antenor Frota Wanderley
60020351,Fortaleza/CE,Benfica,Avenida Eduardo Girão - lado par
60020355,Fortaleza/CE,Benfica,Rua Padre Cícero - até 298/299
60020360,Fortaleza/CE,Benfica,Rua Joaquim Feijó
60020370,Fortaleza/CE,Benfica,Praça Abolicionista Isaac Amaral
60020380,Fortaleza/CE,Benfica,Vila Antônio Augusto
60020390,Fortaleza/CE,Centro,Travessa da Lagoinha
60020400,Fortaleza/CE,Benfica,Praça Presidente Vargas
60020410,Fortaleza/CE,Benfica,Vila Santana
60020903,Fortaleza/CE,Benfica,"Avenida da Universidade, 2853 "
60020973,Fortaleza/CE,Centro,"Rua Vinte e Quatro de Maio, 444 Loja 200/203 "
60025000,Fortaleza/CE,Centro,Rua Senador Pompeu - até 1819/1820
60025001,Fortaleza/CE,José Bonifácio,Rua Senador Pompeu - de 1821/1822 a 2729/2730
60025002,Fortaleza/CE,Benfica,Rua Senador Pompeu - de 2731/2732 ao fim
60025010,Fortaleza/CE,Benfica,Rua Temístocles Machado
60025020,Fortaleza/CE,José Bonifácio,Vila Rosinha
60025030,Fortaleza/CE,José Bonifácio,Vila Tijuca
60025040,Fortaleza/CE,Centro,Galeria São Bernardo
60025050,Fortaleza/CE,Centro,Galeria Professor Brandão
60025060,Fortaleza/CE,Centro,Rua Barão do Rio Branco - até 1878/1879
60025061,Fortaleza/CE,José Bonifácio,Rua Barão do Rio Branco - de 1880/1881 a 2828/2829
60025062,Fortaleza/CE,Fátima,Rua Barão do Rio Branco - de 2830/2831 ao fim
60025065,Fortaleza/CE,Fátima,Rua Major Facundo - de 2300/2301 ao fim
60025068,Fortaleza/CE,Fátima,Rua Floriano Peixoto - de 2390/2391 ao fim
60025070,Fortaleza/CE,Centro,Galeria Leal de Castro
60025080,Fortaleza/CE,José Bonifácio,Vila Lopes
60025090,Fortaleza/CE,Centro,Galeria São Luís
60025100,Fortaleza/CE,Centro,Rua Major Facundo - até 1378/1379
60025101,Fortaleza/CE,José Bonifácio,Rua Major Facundo - de 1380/1381 a 2298/2299
60025102,Fortaleza/CE,José Bonifácio,Travessa Ouvidor
60025103,Fortaleza/CE,José Bonifácio,Travessa Conselheiro Quindere
60025110,Fortaleza/CE,José Bonifácio,Rua Santa Maria
60025120,Fortaleza/CE,Centro,Travessa Pará
60025130,Fortaleza/CE,Centro,Rua Floriano Peixoto - até 1458/1459
60025131,Fortaleza/CE,José Bonifácio,Rua Floriano Peixoto - de 1460/1461 a 2388/2389
60025140,Fortaleza/CE,Centro,Travessa Morada Nova
60025150,Fortaleza/CE,José Bonifácio,Rua do Sereno
60025160,Fortaleza/CE,José Bonifácio,Vila Oscar Vieira
60025170,Fortaleza/CE,Centro,Galeria Marcílio Dias
60025180,Fortaleza/CE,Centro,Praça do Carmo
60025190,Fortaleza/CE,Centro,Vila Dona Júlia
60025200,Fortaleza/CE,Benfica,Rua Leandro Monteiro
60025205,Fortaleza/CE,Benfica,Rua Padre Miguelinho - de 1401/1402 ao fim
60025210,Fortaleza/CE,Benfica,Rua Manuelito Moreira
60025220,Fortaleza/CE,Fátima,Praça Waldir Diogo Siqueira
60025230,Fortaleza/CE,Centro,Praça do Ferreira
60025900,Fortaleza/CE,Benfica,"Rua Senador Pompeu, 2508 "
60025902,Fortaleza/CE,Centro,"Rua Senador Pompeu, 1520 "
60025903,Fortaleza/CE,Centro,"Rua Barão do Rio Branco, 1071 "
60025905,Fortaleza/CE,Centro,"Rua Barão do Rio Branco, 1515 "
60030000,Fortaleza/CE,Centro,Rua Doutor João Moreira
60030010,Fortaleza/CE,Centro,Rua Castro e Silva
60030020,Fortaleza/CE,Centro,Praça Castro Carreira
60030030,Fortaleza/CE,Centro,Rua Sobral
60030040,Fortaleza/CE,Centro,Travessa Crato
60030050,Fortaleza/CE,Centro,Rua Senador Alencar - até 811/812
60030051,Fortaleza/CE,Centro,Rua Senador Alencar - de 813/814 ao fim
60030052,Fortaleza/CE,Centro,Travessa Nova Olinda
60030060,Fortaleza/CE,Centro,Vila Ideal
60030070,Fortaleza/CE,Centro,Vila Fortaleza
60030080,Fortaleza/CE,Centro,Galeria Viçosa
60030090,Fortaleza/CE,Centro,Rua Visconde de Sabóia
60030100,Fortaleza/CE,Centro,Rua São Paulo - até 1003/1004
60030101,Fortaleza/CE,Centro,Rua São Paulo - de 1005/1006 a 1799/1800
60030110,Fortaleza/CE,Centro,Rua Luís Hortêncio
60030120,Fortaleza/CE,Centro,Rua Alfredo Salgado
60030140,Fortaleza/CE,Centro,Rua Guilherme Rocha - até 845/846
60030141,Fortaleza/CE,Centro,Rua Guilherme Rocha - de 847/848 ao fim
60030150,Fortaleza/CE,Centro,Praça José de Alencar
60030160,Fortaleza/CE,Centro,Rua Liberato Barroso - até 895/896
60030161,Fortaleza/CE,Centro,Rua Liberato Barroso - de 897/898 ao fim
60030170,Fortaleza/CE,Centro,Praça Capistrano de Abreu
60030180,Fortaleza/CE,Centro,Vila José Maria Filomeno
60030190,Fortaleza/CE,Centro,Travessa do Patrocínio
60030200,Fortaleza/CE,Centro,Rua Perboyre e Silva
60030210,Fortaleza/CE,Centro,Galeria São Miguel
60030220,Fortaleza/CE,Centro,Largo da Assembléia
60030240,Fortaleza/CE,Centro,Praça dos Martires
60030900,Fortaleza/CE,Centro,"Rua São Paulo, 32 "
60030901,Fortaleza/CE,Centro,"Rua Liberato Barroso, 307 "
60030902,Fortaleza/CE,Centro,"Rua Perboyre e Silva, 111 "
60030904,Fortaleza/CE,Centro,"Rua Senador Alencar, 38 2º Andar Sala 205 "
60030905,Fortaleza/CE,Centro,"Rua Senador Alencar, 38 1º Andar Sala 101 "
60030906,Fortaleza/CE,Centro,"Rua Senador Alencar, 38 3º Andar Sala 308 "
60030970,Fortaleza/CE,Centro,"Rua Senador Alencar, 38 "
60030971,Fortaleza/CE,Centro,"Rua Senador Alencar, 38 "
60035000,Fortaleza/CE,Centro,Rua Pedro Pereira - até 1033/1034
60035001,Fortaleza/CE,Centro,Rua Pedro Pereira - de 1035/1036 ao fim
60035010,Fortaleza/CE,Jacarecanga,Rua Júlio Pinto - até 2259/2260
60035020,Fortaleza/CE,Centro,Vila Diogo
60035030,Fortaleza/CE,Centro,Rua Jardim Santa Isabel
60035040,Fortaleza/CE,Centro,Vila Mitre
60035050,Fortaleza/CE,Centro,Vila Rosinha
60035060,Fortaleza/CE,Jacarecanga,Vila João Eudes
60035070,Fortaleza/CE,Jacarecanga,Vila Rocilda
60035075,Fortaleza/CE,Jacarecanga,Travessa Sena
60035078,Fortaleza/CE,Jacarecanga,Avenida Duque de Caxias - de 1802 ao fim - lado par
60035080,Fortaleza/CE,Jacarecanga,Vila Alice Diniz
60035090,Fortaleza/CE,Jacarecanga,Vila São Raimundo
60035100,Fortaleza/CE,Centro,Rua Pedro I - até 931/932
60035101,Fortaleza/CE,Centro,Rua Pedro I - de 933/934 ao fim
60035106,Fortaleza/CE,Centro,Rua São Pedro
60035110,Fortaleza/CE,Centro,Avenida Duque de Caxias - até 1800 - lado par
60035111,Fortaleza/CE,Centro,Avenida Duque de Caxias - até 1799 - lado ímpar
60035130,Fortaleza/CE,Centro,Rua General Clarindo de Queiroz - até 1848/1849
60035131,Fortaleza/CE,Farias Brito,Rua General Clarindo de Queiroz - de 1850/1851 ao fim
60035140,Fortaleza/CE,Centro,Galeria São Sebastião
60035160,Fortaleza/CE,Centro,Rua Meton de Alencar - até 1269/1270
60035161,Fortaleza/CE,Centro,Rua Meton de Alencar - de 1271/1272 ao fim
60035170,Fortaleza/CE,Centro,Vila Ana de Castro
60035180,Fortaleza/CE,Centro,Praça Clóvis Beviláqua
60035190,Fortaleza/CE,Centro,Praça Coração de Jesus
60035200,Fortaleza/CE,Centro,Galeria Elzanira
60035210,Fortaleza/CE,Centro,Praça General Murilo Borges
60035220,Fortaleza/CE,Centro,Travessa Ismênia
60035230,Fortaleza/CE,Centro,Praça Paula Pessoa
60035902,Fortaleza/CE,Centro,"Rua Pedro Pereira, 481 "
60035970,Fortaleza/CE,Centro,"Avenida Duque de Caxias, 1063 "
60035971,Fortaleza/CE,Centro,"Avenida Duque de Caxias, 1063 "
60040000,Fortaleza/CE,Centro,Rua Antônio Pompeu - até 2000 - lado par
60040001,Fortaleza/CE,Benfica,Rua Antônio Pompeu - de 941 a 1399 - lado ímpar
60040005,Fortaleza/CE,José Bonifácio,Rua Antônio Pompeu - até 939 - lado ímpar
60040010,Fortaleza/CE,José Bonifácio,Rua José Gomes de Moura
60040020,Fortaleza/CE,José Bonifácio,Rua Tereza Gomes de Moura
60040021,Fortaleza/CE,José Bonifácio,Travessa José Gomes de Moura
60040030,Fortaleza/CE,José Bonifácio,Rua Dom Bosco
60040040,Fortaleza/CE,José Bonifácio,Vila Lourenço Feitosa
60040041,Fortaleza/CE,José Bonifácio,Vila Treze de Maio
60040050,Fortaleza/CE,Centro,Rua Comendador Acioli
60040051,Fortaleza/CE,Centro,Travessa Mauriti
60040060,Fortaleza/CE,Centro,Rua Itapagé
60040070,Fortaleza/CE,Centro,Rua Ângelo Ratacaso
60040080,Fortaleza/CE,José Bonifácio,Rua Domingos Olímpio - até 990 - lado par
60040081,Fortaleza/CE,Benfica,Rua Domingos Olímpio - de 991 a 1499 - lado ímpar
60040082,Fortaleza/CE,Benfica,Rua Domingos Olímpio - de 992 a 1500 - lado par
60040090,Fortaleza/CE,Benfica,Vila Olímpica
60040100,Fortaleza/CE,José Bonifácio,Rua Quintino Bocaiúva - até 899/900
60040110,Fortaleza/CE,José Bonifácio,Vila Nossa Senhora de Fátima
60040115,Fortaleza/CE,José Bonifácio,Rua Domingos Olímpio - até 989 - lado ímpar
60040120,Fortaleza/CE,José Bonifácio,Vila Santa Isabel
60040125,Fortaleza/CE,José Bonifácio,Rua Joaquim Magalhães - de 300/301 ao fim
60040130,Fortaleza/CE,José Bonifácio,Rua Olívio Câmara - até 128/129
60040140,Fortaleza/CE,Benfica,Travessa Ari da Silva Marinho
60040145,Fortaleza/CE,Benfica,Rua Olívio Câmara - de 130/131 ao fim
60040148,Fortaleza/CE,Benfica,Rua Quintino Bocaiúva - de 901/902 ao fim
60040150,Fortaleza/CE,Benfica,Rua José Viana de Araújo
60040160,Fortaleza/CE,Benfica,Rua Joaquim Magalhães - até 298/299
60040170,Fortaleza/CE,José Bonifácio,Vila Arruda
60040180,Fortaleza/CE,Fátima,Vila Santos
